created_at,full_text,username
Mon Feb 12 23:51:34 +0000 2024,@UGM_FESS MENGAMANKAN ANGGOTA PDIP YANG TERLIBAT. BAHKAN NAMA GANJAR DISEBUTKAN DALAM KEGIATAN KORUPSI E-KTP TERSEBUT. BARULAH DI 2021 KITA MENDENGAR ADANYA NIAT JOKOWI DALAM PEMBUBARAN KPK YANG MANA SAAT ITU BANYAK MAHASISWA YANG MELAKUKAN DEMO DAN 3 TOKOH DALAM DIRTY VOTE MERUPAKAN TOKOH,arhan_fikr56029
Mon Feb 12 23:51:27 +0000 2024,@tvOneNews Kita harus berfikir bahwa 01 lah yang terbaik dsn unggil jadi pemimpin saat ini bukan yang lain kalo kalah pun cuman pilih Ganjar https://t.co/hzqLnmvXi2,JaehyunieeJw
Mon Feb 12 23:50:43 +0000 2024,Hadah Alam Ganjar,Destiny4ngelina
Mon Feb 12 23:50:40 +0000 2024,@islah_bahrawi Tetap Ganjar,SiburianRaja
Mon Feb 12 23:50:11 +0000 2024,Setiap suara adalah harapan mari kita wujudkan dengan memilih Ganjar - Mahfud. Ganjar Pranowo hanya yang terbaik untuk rakyat @bangobayu #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/pUeu4sSAZQ,anggarasabtaa
Mon Feb 12 23:49:45 +0000 2024,Banyak meme beredar: 01 = Anies = Surya Paloh 02 = Gibran = Jokowi 03 = Ganjar = Megawati Biasanya meme itu disebarkan oleh pendukung 02. Ya sebetulnya penyederhanaan itu adalah pembodohan pada masyarakat. Utamanya generasi muda yang literasinya miris https://t.co/nCJkvDTAbz,IndoMeals
Mon Feb 12 23:49:42 +0000 2024,@ganjarpranowo @ernestprakasa Mari kita dukung terus Ganjar Mahfud pemimpin yang jujur dan anti korupsi ,xinnntzy83
Mon Feb 12 23:49:37 +0000 2024,@geloraco Lah dia nya aja plin plan kan . Udah paling bener dukung pak Anies yg jauh dari kata curang atau pilihan alternatif kalo pak Anies kalah ya pilih Ganjar aja jangan prabowo lah ngeri https://t.co/X7kl8PTsfa,ChikalAlfatih
Mon Feb 12 23:49:26 +0000 2024,@JhontalJk Pilih Ganjar dan Mahfud itu sudah,LuluLucyanna
Mon Feb 12 23:49:16 +0000 2024,Memang semuanya itu fakta. Yang tidak fakta adalah suburnya tanaman singkong di food estate.,AgusKuswanto121
Mon Feb 12 23:49:12 +0000 2024,alam ganjar,ryoidl
Mon Feb 12 23:49:01 +0000 2024,@ganjarpranowo @ernestprakasa Gasssspollll Ganjar Mahfud pemimpin yang amanah dan merakyat ️,ballTzyyy
