created_at,full_text,username
Mon Feb 12 23:54:41 +0000 2024,gambaran kalo presidennya prabowo gibran (tp smg aja kagak),dumbfaalief
Mon Feb 12 23:54:36 +0000 2024,Waktunya kulmit guys (kuliah 1 mnt) bnyk musibah yg menimpa saudara2 kt sgr meluncur yuk bantuanya ke tkp dan doain ya guys..catet️ cc @SBYudhoyono @Pak_JK @jokowi @fadlizon @Fahrihamzah @AHMADDHANIPRAST @KemensosRI @aniesbaswedan @prabowo @ganjarpranowo @tvOneNews @Metro_TV https://t.co/Ss6cFiMxPv,BRKVision2023
Mon Feb 12 23:54:32 +0000 2024,kalau prabowo kan cuddly grandpa kalau gibran apa ya,kuesuslotte
Mon Feb 12 23:54:15 +0000 2024,@SahabatAKost @prabowo @gibran_tweet Kan sama seperti kalian jg nyebar sembako minyak goreng yg sdh ada labelnya PRABOWO Gibran sama duuull https://t.co/wVOnkxHHUE,aniezz479
Mon Feb 12 23:54:07 +0000 2024,Sementara banyak meme pembodohan yang beredar dari semua simpatisan paslon. Selalu muncul narasi RAKYAT SUDAH PINTAR . Ini juga narasi pembodohan. Jika rakyat sudah pintar makan gak perlu kampanye dengan dana besar! Adu gagasan sudah cukup. Daripada adu gimnick,IndoMeals
Mon Feb 12 23:54:04 +0000 2024,@Luluk1683 @emerson_yuntho @prabowo Kamu sepertinya kurang sehat. Mana pake bahasa 'potensi langgar UU' Klo melanggar konstitusi boleh?,kumur69
Mon Feb 12 23:53:58 +0000 2024,Anggaplah ini valid. Ngga heran. Memang begitu kok faktanya. 2X aku pernah jadi pemilih Prabowo karena TERPAKSA NGGA ADA PILIHAN di Kota La Spezia (SP) dari 20 orang INA ya cuma aku yang pilih Prabowo dan PKS. Sisanya Jokowi dan PDIP. Di Milan Roma dll yang Org INAnya lbh https://t.co/HWvkPUzT7m,nieke_olivia
Mon Feb 12 23:53:51 +0000 2024,@tvOneNews Mau laporin apa? Wong yg ada di dirty vote pake data semua. Nanti TKN prabowo mesti nyanggah dg data lagi dong. Emang sanggup? Hahahahahahahah,lampu_patromaks
Mon Feb 12 23:53:50 +0000 2024,@WeduusBalap @bengkeldodo @Ndons_Back @BANGSAygSUJUD @Bank_Joee_ @Alie_Fahnoor @99propaganda @PartaiSocmed @AndreasSolusi @Kimberley_PS08 @are_inismyname @Lembayung071 @prabowo @gibran_tweet Anak haram konstitusi (DV),elzamil
Mon Feb 12 23:53:28 +0000 2024,@realfedinuril @prabowo @Dahnilanzar Jawaban nya nanti klu Indonesia udah hancur,bank_jego
Mon Feb 12 23:53:27 +0000 2024,Orang itu kalau banyak bicara dan serang sana sini pasti ada tujuan karena misinya gagal..!! Masif Serang Prabowo Rosan Roeslani Sebut Connie Rahakundini Ngotot Incar Jabatan Wamen Tapi di Tolak! via @jegtheme https://t.co/dPwnLXTI1z,aldy_kan
