created_at,full_text,username
Tue Feb 13 23:57:56 +0000 2024,The Dayyy yuk gunakan suara kita untuk pemimpin Indonesia bersama @prabowo @gibran_tweet #02JariUngu https://t.co/6eN1s7gxiV,ChanCha2406
Tue Feb 13 23:57:53 +0000 2024,@syalalaela @prabowo @gibran_tweet Mari kita kawal kemenangan ini #02JariUngu,alakim33
Tue Feb 13 23:57:53 +0000 2024,@kegblgnunfaedh Iya gue tau ini tweet cuman buat seru2an. Tapi buat yg ngira Lord Rangga beneran bisa ngeramal asal lu tau itu video dibikin Oktober 2022 dimana elektabilitas Ganjar Prabowo &amp; Anies emang udah tertinggi di survei gue pun juga udah bikin tweet ginian. Trus gw jg peramal gitu? https://t.co/R69RAgWmbh,HILARlO
Tue Feb 13 23:57:51 +0000 2024,Teguhkan hati menangkan Prabowo -gibran gas salam dua jari ungu jangan salah pilih #02JariUngu@prabowo https://t.co/cFRECV9h8Z,Rafa78775237
Tue Feb 13 23:57:51 +0000 2024,ujan gini enak molor anjing malah disuruh pemilu tanpa suara gua jg prabowo menang,eik00dok
Tue Feb 13 23:57:51 +0000 2024,kalo emang terjadi gua berharap prabowo sehat ga kebayang ketika kenapa kenapa terus gibran jadi presiden,rezgime
Tue Feb 13 23:57:49 +0000 2024,@syalalaela @prabowo @gibran_tweet Wahh siap bangett ini mahh ga sabar buat coblos langsung #02JariUngu,dabi597137
Tue Feb 13 23:57:06 +0000 2024,@FirzaHusain @PartaiSocmed doa di pagi ini Bismillah Yaa Alloh Yaa Rohman Yaa Rokhim Yaa Malik Yaa Qudus Yaa Dzal Jalali Wal Ikrom... Yaa Alloh.... menangkanlah Pasangan Prabowo Gibran dalam pilpres tahun ini. DENGAN SATU PUTARAN semua atas Kehendak dan Kuasa Mu... آمِيْن يَا رَبَّ العَالَمِيْنَ,Dedy_313
Tue Feb 13 23:57:02 +0000 2024,Semua yang fanatik mau projo ahogers anies prabowo ganjar semua kek kon,bankonkzuma
Tue Feb 13 23:57:01 +0000 2024,@syalalaela @prabowo @gibran_tweet Ayok ke tps dan pilih pilihanmu #02JariUngu,dosakau
Tue Feb 13 23:57:00 +0000 2024,@99propaganda @prabowo Oke gass. Pak Prabowo pemimpin terkuat tak terkalahkan https://t.co/PkDQ9f0p0W,KistiSamah
Tue Feb 13 23:57:00 +0000 2024,Semangat banget buat hari inii pastikan suara kalian memilih #02JariUngu dan jangan lupa coblos pak @prabowo dan @gibran_tweet https://t.co/UjHASXioOu,nabilaahbiyaaa
Tue Feb 13 23:56:56 +0000 2024,Menyongsong hari bersejarah pemilu terakhir bangsa indo,h_____u_____3
Tue Feb 13 23:56:56 +0000 2024,mari bersama kita ramaikan gerakan #02JariUngu demi indonesia yang lebih baik @prabowo https://t.co/HUblZPMF2u,nafian1010
Tue Feb 13 23:56:54 +0000 2024,No 5 sus buat pilih prabowo,mesheviksus2
Tue Feb 13 23:56:50 +0000 2024,Capres 02 @prabowo bakal pake hak pilihnya di TPS dekat rumahnya di Hambalang Bogor Rabu (14/2). #Pemilu2024 #PilihanIndonesia #CNNIndonesia https://t.co/AOZ3DOTnRG,CNNIndonesia
